datetime,PV,WF,day,hour
2019-01-09 11:00:00,3.9855124354135976,1796180.5016610469,9,11
2019-01-09 12:00:00,8.821827299909287,1749025.7067256938,9,12
2019-01-09 13:00:00,3.5524349834926134,1573121.1851834233,9,13
2019-01-09 14:00:00,38.95033222812331,1338426.3307673696,9,14
2019-01-09 15:00:00,66.74867421931191,818710.5492653317,9,15
2019-01-09 16:00:00,72.70912949888435,294243.8187816829,9,16
2019-01-09 17:00:00,25.746893251060232,131590.58612085396,9,17
2019-01-09 18:00:00,0.0,248068.2402005309,9,18
2019-01-09 19:00:00,0.0,270798.35342268634,9,19
2019-01-09 20:00:00,0.0,229848.1363339123,9,20
2019-01-09 21:00:00,0.0,183124.97178828323,9,21
2019-01-09 22:00:00,0.0,151648.00464502163,9,22
2019-01-09 23:00:00,0.0,134777.59343476145,9,23
2019-01-10 00:00:00,0.0,135215.58532563696,10,0
2019-01-10 01:00:00,0.0,135436.8229877876,10,1
2019-01-10 02:00:00,0.0,111497.65379395791,10,2
2019-01-10 03:00:00,0.0,108235.12704112795,10,3
2019-01-10 04:00:00,0.0,146402.24370129235,10,4
2019-01-10 05:00:00,0.0,177842.7510129488,10,5
2019-01-10 06:00:00,0.0,217548.1575284265,10,6
2019-01-10 07:00:00,0.16515703989800165,457450.3276092613,10,7
2019-01-10 08:00:00,3.794608204316554,659145.1687369682,10,8
2019-01-10 09:00:00,4.405426409027927,698785.2982793526,10,9
2019-01-10 10:00:00,15.604980979048474,926825.2961629815,10,10
2019-01-10 11:00:00,4.759526908543056,620075.7513429315,10,11
2019-01-10 12:00:00,39.114747037108216,372554.86824784736,10,12
2019-01-10 13:00:00,44.91875612061713,276124.6026731275,10,13
2019-01-10 14:00:00,40.002657767070076,230037.03312704622,10,14
2019-01-10 15:00:00,26.29305770497956,105227.49095103178,10,15
2019-01-10 16:00:00,45.43037893061015,33696.71754734325,10,16
2019-01-10 17:00:00,18.14627993713713,34019.41082684831,10,17
2019-01-10 18:00:00,0.0,88023.83805327928,10,18
2019-01-10 19:00:00,0.0,96739.473880971,10,19
2019-01-10 20:00:00,0.0,132225.63649727037,10,20
2019-01-10 21:00:00,0.0,132555.5419750236,10,21
2019-01-10 22:00:00,0.0,132625.99813100667,10,22
2019-01-10 23:00:00,0.0,132809.83895378993,10,23
2019-01-11 00:00:00,0.0,132964.09817920503,11,0
2019-01-11 01:00:00,0.0,132967.19910626902,11,1
2019-01-11 02:00:00,0.0,163900.88647939,11,2
2019-01-11 03:00:00,0.0,177772.88179589988,11,3
2019-01-11 04:00:00,0.0,220998.07993116346,11,4
2019-01-11 05:00:00,0.0,270775.17394435825,11,5
2019-01-11 06:00:00,0.0,350440.09946688043,11,6
2019-01-11 07:00:00,0.2594613784386093,755249.0770035274,11,7
2019-01-11 08:00:00,4.533688643977557,1402586.6313619902,11,8
2019-01-11 09:00:00,5.045693742324759,1628515.0009329347,11,9
2019-01-11 10:00:00,4.901836897630076,1753323.890773023,11,10
2019-01-11 11:00:00,4.55843570700056,1773404.7987080917,11,11
2019-01-11 12:00:00,4.298103945831951,1785638.4530391558,11,12
2019-01-11 13:00:00,4.236227569463556,1788276.3231579182,11,13
2019-01-11 14:00:00,39.29778641434455,1787724.796144363,11,14
2019-01-11 15:00:00,35.12078021339449,1735674.7213040146,11,15
2019-01-11 16:00:00,8.50429325546737,993669.671406893,11,16
2019-01-11 17:00:00,0.0,440201.9093642775,11,17
2019-01-11 18:00:00,0.0,781039.5606582736,11,18
2019-01-11 19:00:00,0.0,1047263.7669365578,11,19
2019-01-11 20:00:00,0.0,1223167.3130931223,11,20
2019-01-11 21:00:00,0.0,1220707.5660475818,11,21
2019-01-11 22:00:00,0.0,1097783.2321914537,11,22
2019-01-11 23:00:00,0.0,800657.8386637425,11,23
2019-01-12 00:00:00,0.0,581826.2915938244,12,0
