Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,14,19,30,0,2.6
2019,1,14,20,30,0,2.6
2019,1,14,21,30,0,2.6
2019,1,14,22,30,0,2.6
2019,1,14,23,30,0,2.6
2019,1,15,0,30,0,2.7
2019,1,15,1,30,0,2.7
2019,1,15,2,30,0,2.8000000000000003
2019,1,15,3,30,0,2.8000000000000003
2019,1,15,4,30,0,2.8000000000000003
2019,1,15,5,30,0,2.8000000000000003
2019,1,15,6,30,0,2.8000000000000003
2019,1,15,7,30,192,3
2019,1,15,8,30,663,3.1
2019,1,15,9,30,471,2.9000000000000004
2019,1,15,10,30,641,2.6
2019,1,15,11,30,450,2.4000000000000004
2019,1,15,12,30,442,2.3000000000000003
2019,1,15,13,30,461,2.2
2019,1,15,14,30,296,2
2019,1,15,15,30,250,1.8
2019,1,15,16,30,301,1.8
2019,1,15,17,30,0,1.8
2019,1,15,18,30,0,1.8
2019,1,15,19,30,0,1.7000000000000002
2019,1,15,20,30,0,1.5
2019,1,15,21,30,0,1.4000000000000001
2019,1,15,22,30,0,1.4000000000000001
2019,1,15,23,30,0,1.6
2019,1,16,0,30,0,1.9000000000000001
2019,1,16,1,30,0,2.4000000000000004
2019,1,16,2,30,0,2.9000000000000004
2019,1,16,3,30,0,3.2
2019,1,16,4,30,0,3.4000000000000004
2019,1,16,5,30,0,3.5
2019,1,16,6,30,0,3.6
2019,1,16,7,30,14,3.9000000000000004
2019,1,16,8,30,83,4.3
2019,1,16,9,30,0,4.6000000000000005
2019,1,16,10,30,43,4.7
2019,1,16,11,30,109,4.5
2019,1,16,12,30,1,4.3
2019,1,16,13,30,27,4
2019,1,16,14,30,12,3.6
2019,1,16,15,30,125,3.5
2019,1,16,16,30,159,3.6
2019,1,16,17,30,0,3.7
2019,1,16,18,30,0,3.7
2019,1,16,19,30,0,3.7
2019,1,16,20,30,0,3.8000000000000003
2019,1,16,21,30,0,4.1000000000000005
2019,1,16,22,30,0,4.3
2019,1,16,23,30,0,4.1000000000000005
2019,1,17,0,30,0,3.9000000000000004
2019,1,17,1,30,0,3.7
2019,1,17,2,30,0,3.6
2019,1,17,3,30,0,3.5
2019,1,17,4,30,0,3.3000000000000003
2019,1,17,5,30,0,3.2
2019,1,17,6,30,0,3.2
2019,1,17,7,30,2,3.3000000000000003
2019,1,17,8,30,136,3.3000000000000003
2019,1,17,9,30,566,3.1
2019,1,17,10,30,897,2.6
2019,1,17,11,30,758,2.2
2019,1,17,12,30,386,1.9000000000000001
2019,1,17,13,30,286,1.7000000000000002
2019,1,17,14,30,35,1.5
2019,1,17,15,30,0,1.2000000000000002
2019,1,17,16,30,49,1.2000000000000002
2019,1,17,17,30,0,1.4000000000000001
2019,1,17,18,30,0,1.5
2019,1,17,19,30,0,1.6
2019,1,17,20,30,0,1.8
2019,1,17,21,30,0,1.9000000000000001
2019,1,17,22,30,0,2
2019,1,17,23,30,0,1.9000000000000001
2019,1,18,0,30,0,1.8
2019,1,18,1,30,0,1.7000000000000002
2019,1,18,2,30,0,1.5
2019,1,18,3,30,0,1.4000000000000001
2019,1,18,4,30,0,1.3
2019,1,18,5,30,0,1.4000000000000001
2019,1,18,6,30,0,1.4000000000000001
2019,1,18,7,30,0,1.1
2019,1,18,8,30,67,0.7000000000000001
2019,1,18,9,30,56,0.6000000000000001
2019,1,18,10,30,59,0.8
2019,1,18,11,30,0,1.2000000000000002
2019,1,18,12,30,0,1.5
2019,1,18,13,30,0,1.7000000000000002
2019,1,18,14,30,0,1.7000000000000002
2019,1,18,15,30,565,1.9000000000000001
2019,1,18,16,30,0,2.2
2019,1,18,17,30,0,2.6
2019,1,18,18,30,0,2.8000000000000003
2019,1,18,19,30,0,2.8000000000000003
2019,1,18,20,30,0,2.7
2019,1,18,21,30,0,2.8000000000000003
2019,1,18,22,30,0,2.8000000000000003
2019,1,18,23,30,0,2.8000000000000003
2019,1,19,0,30,0,2.8000000000000003
2019,1,19,1,30,0,2.7
2019,1,19,2,30,0,2.7
2019,1,19,3,30,0,2.6
2019,1,19,4,30,0,2.5
2019,1,19,5,30,0,2.4000000000000004
2019,1,19,6,30,0,2.4000000000000004
2019,1,19,7,30,76,2.4000000000000004
2019,1,19,8,30,121,2.2
2019,1,19,9,30,120,2.1
2019,1,19,10,30,2,2.2
2019,1,19,11,30,0,2.2
2019,1,19,12,30,0,1.9000000000000001
2019,1,19,13,30,0,1.8
2019,1,19,14,30,0,2
2019,1,19,15,30,0,2.5
2019,1,19,16,30,0,2.8000000000000003
2019,1,19,17,30,0,3.3000000000000003
2019,1,19,18,30,0,3.7
2019,1,19,19,30,0,4.7
2019,1,19,20,30,0,5.300000000000001
2019,1,19,21,30,0,5.9
2019,1,19,22,30,0,6.300000000000001
2019,1,19,23,30,0,6.7
2019,1,20,0,30,0,7
2019,1,20,1,30,0,6.6000000000000005
2019,1,20,2,30,0,6.1000000000000005
2019,1,20,3,30,0,5.7
2019,1,20,4,30,0,5.7
2019,1,20,5,30,0,5.9
2019,1,20,6,30,0,5.2
2019,1,20,7,30,0,4.5
2019,1,20,8,30,0,3.8000000000000003
2019,1,20,9,30,25,3.2
2019,1,20,10,30,0,3.1
2019,1,20,11,30,1,3.9000000000000004
