GWP,Methane
357.2421735,83.82
360.1992281,83.82
345.4384547,83.82
290.712005,83.82
287.2274919,83.82
377.7267841,83.82
388.2199306,83.82
285.9611281,83.82
275.6481694,83.82
287.4836673,83.82
364.3571788,83.82
402.3623202,83.82
361.2813823,83.82
382.0179024,83.82
300.6818093,83.82
335.7091814,83.82
330.834817,83.82
340.0087502,83.82
252.4660603,83.82
248.8935885,83.82
320.8406398,83.82
366.9205479,83.82
355.1659872,83.82
303.8428378,83.82
226.0459862,83.82
349.6208497,83.82
302.5342039,83.82
282.3988268,83.82
375.4620723,83.82
308.7717139,83.82
337.4770146,83.82
293.2418604,83.82
287.0317805,83.82
329.567368,83.82
413.5097113,83.82
423.0739979,83.82
366.0834278,83.82
424.2167254,83.82
395.0828636,83.82
331.193421,83.82
277.2958581,83.82
353.7281254,83.82
362.9015839,83.82
301.7480088,83.82
358.0403035,83.82
336.0154104,83.82
406.1562445,83.82
370.325691,83.82
285.987071,83.82
352.5997,83.82
361.5686477,83.82
364.5386724,83.82
232.0508057,83.82
242.1537346,83.82
315.4232691,83.82
359.1771353,83.82
242.843837,83.82
277.364459,83.82
279.6030253,83.82
218.8120388,83.82
241.8220926,83.82
297.6791807,83.82
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
315.4823121,87.6
